dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-17 08:45:00,384.1,383.42,386.96,2004-06-17 14:15:00,386.96,1.47,365.43,3.67,target,21
LONG,2004-06-17 16:00:00,385.8,385.37,389.06,2004-06-17 16:15:00,385.37,2.4,-192.19,-1.86,stop,0
LONG,2004-06-17 17:00:00,386.3,384.83,388.64,2004-06-17 19:30:00,388.64,0.69,135.74,1.34,target,9
LONG,2004-06-21 13:45:00,394.8,392.49,398.82,2004-06-21 16:30:00,392.49,0.44,-118.01,-1.16,stop,10
SHORT,2004-06-28 23:30:00,400.3,401.02,397.37,2004-06-29 09:30:00,397.37,1.42,364.2,3.58,target,32
SHORT,2004-06-29 16:15:00,394.1,398.07,388.27,2004-06-30 14:30:00,393.1,0.26,16.38,0.16,time,80
SHORT,2004-07-02 04:15:00,394.6,396.23,391.34,2004-07-02 14:15:00,391.34,0.64,185.13,1.77,target,36
LONG,2004-07-08 14:45:00,404.0,402.12,407.16,2004-07-08 18:15:00,407.16,0.57,159.15,1.48,target,13
LONG,2004-07-09 12:00:00,406.5,404.97,408.36,2004-07-12 13:45:00,406.1,0.71,-54.67,-0.5,time,80
SHORT,2004-07-16 02:15:00,402.0,404.5,396.41,2004-07-16 10:15:00,404.5,0.43,-123.26,-1.15,stop,26
SHORT,2004-07-22 19:00:00,395.5,396.36,392.27,2004-07-23 11:45:00,392.27,1.24,354.18,3.31,target,55
SHORT,2004-07-26 14:30:00,390.3,392.29,386.92,2004-07-27 10:30:00,392.29,0.55,-129.88,-1.19,stop,73
SHORT,2004-07-28 11:15:00,385.6,388.79,379.21,2004-07-28 18:15:00,388.79,0.34,-121.14,-1.12,stop,27
SHORT,2004-07-29 10:45:00,388.8,390.3,385.8,2004-07-29 14:15:00,385.8,0.72,189.35,1.75,target,13
SHORT,2004-07-30 14:15:00,388.3,389.58,385.73,2004-07-30 14:30:00,389.58,0.85,-140.56,-1.29,stop,0
SHORT,2004-08-11 15:15:00,395.3,396.7,392.49,2004-08-11 16:00:00,392.49,0.77,187.81,1.74,target,2
