strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,avg_R,total_return_pct,cagr_pct,max_dd_pct,mar,sharpe,max_loss_streak,best_R,worst_R,avg_bars,end_equity
pullback,1h,OOS_2019_2026,ideal,714,37.0,0.91,-0.03,-0.03,-27.6,-4.5,-38.5,-0.12,-0.4,15,2.58,-1.0,24.2,7243.0
pullback,1h,OOS_2019_2026,realistic,714,36.4,0.85,-0.065,-0.06,-41.7,-7.3,-43.9,-0.17,-0.72,15,2.55,-1.2,24.2,5829.0
pullback,1h,OOS_2019_2026,pessimistic,714,36.3,0.81,-0.086,-0.09,-48.4,-8.9,-48.4,-0.18,-0.9,15,2.52,-1.32,24.2,5158.0
pullback,4h,full,ideal,558,40.9,1.2,0.12,0.12,77.6,2.7,-17.2,0.16,0.53,9,2.33,-1.0,24.2,17762.0
pullback,4h,full,realistic,558,40.7,1.16,0.094,0.09,60.8,2.2,-20.8,0.11,0.45,9,2.32,-1.18,24.2,16081.0
pullback,4h,full,pessimistic,558,40.3,1.11,0.077,0.08,40.0,1.6,-23.1,0.07,0.33,9,2.31,-1.3,24.2,13997.0
pullback,4h,IS_2004_2018,ideal,367,41.1,1.17,0.108,0.11,41.7,2.4,-16.3,0.15,0.49,8,2.32,-1.0,24.0,14167.0
pullback,4h,IS_2004_2018,realistic,367,40.9,1.13,0.077,0.08,31.4,1.9,-18.3,0.1,0.39,8,2.29,-1.18,24.0,13140.0
pullback,4h,IS_2004_2018,pessimistic,367,40.3,1.07,0.057,0.06,17.0,1.1,-20.1,0.05,0.24,8,2.27,-1.3,24.0,11697.0
pullback,4h,OOS_2019_2026,ideal,191,40.3,1.25,0.134,0.13,23.8,3.1,-8.4,0.36,0.61,9,2.33,-1.0,24.6,12375.0
pullback,4h,OOS_2019_2026,realistic,191,40.3,1.21,0.116,0.12,19.2,2.5,-10.2,0.25,0.51,9,2.32,-1.06,24.6,11924.0
pullback,4h,OOS_2019_2026,pessimistic,191,40.3,1.16,0.105,0.11,14.9,2.0,-10.9,0.18,0.42,9,2.31,-1.09,24.6,11487.0
pullback,1d,full,ideal,98,40.8,1.36,0.137,0.14,15.9,0.7,-10.4,0.07,0.35,7,2.18,-1.0,26.5,11591.0
