dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-07-07 20:00:00,401.8,387.65,430.11,2004-07-23 16:00:00,387.65,0.07,-101.66,-1.03,stop,70
SHORT,2004-07-27 20:00:00,386.6,393.03,372.25,2004-08-02 00:00:00,393.03,0.15,-101.96,-1.06,stop,18
LONG,2004-08-13 20:00:00,398.0,391.64,412.52,2004-08-20 16:00:00,412.52,0.15,212.29,2.22,target,28
LONG,2004-10-14 20:00:00,417.3,409.06,434.68,2004-11-03 16:00:00,423.5,0.12,69.96,0.71,time,80
LONG,2004-11-08 00:00:00,433.6,423.71,451.89,2004-11-26 08:00:00,451.89,0.1,179.18,1.81,target,74
LONG,2004-12-02 04:00:00,455.7,446.99,473.43,2004-12-02 16:00:00,446.99,0.11,-99.93,-1.04,stop,2
SHORT,2005-04-04 20:00:00,422.7,428.57,411.25,2005-04-11 12:00:00,428.57,0.17,-106.13,-1.06,stop,27
SHORT,2005-04-12 20:00:00,426.5,430.11,419.57,2005-04-19 16:00:00,430.11,0.27,-107.58,-1.1,stop,28
LONG,2005-04-29 16:00:00,435.3,429.69,447.41,2005-05-02 16:00:00,429.69,0.17,-101.59,-1.07,stop,5
SHORT,2005-05-20 16:00:00,417.8,422.04,409.31,2005-06-02 16:00:00,422.04,0.23,-106.09,-1.09,stop,43
LONG,2005-06-10 20:00:00,426.5,420.11,439.58,2005-06-20 08:00:00,439.58,0.15,190.61,1.99,target,32
LONG,2005-08-16 20:00:00,445.6,439.44,458.52,2005-08-17 16:00:00,439.44,0.16,-104.45,-1.06,stop,4
LONG,2005-08-29 16:00:00,439.8,435.51,448.07,2005-08-30 04:00:00,435.51,0.22,-102.42,-1.09,stop,2
LONG,2005-09-28 20:00:00,469.3,456.72,494.45,2005-10-18 12:00:00,472.3,0.07,18.41,0.21,time,80
SHORT,2005-10-31 20:00:00,464.8,475.14,444.11,2005-11-16 12:00:00,475.14,0.09,-96.41,-1.04,stop,68
LONG,2005-11-21 08:00:00,487.3,482.05,497.8,2005-11-28 08:00:00,497.8,0.18,182.36,1.93,target,14
LONG,2005-11-28 12:00:00,497.1,486.19,518.01,2005-12-08 04:00:00,518.01,0.09,184.87,1.88,target,38
LONG,2006-01-06 20:00:00,538.1,520.91,575.77,2006-01-27 20:00:00,559.2,0.05,103.65,1.21,time,80
LONG,2006-01-30 20:00:00,566.1,555.41,587.77,2006-02-07 16:00:00,555.41,0.09,-99.51,-1.03,stop,33
LONG,2006-04-06 12:00:00,595.0,582.1,621.1,2006-04-18 20:00:00,621.1,0.07,180.11,1.99,target,40
LONG,2006-04-28 16:00:00,644.7,625.77,681.95,2006-05-05 08:00:00,681.95,0.05,184.41,1.95,target,27
LONG,2006-05-09 16:00:00,690.7,668.75,734.31,2006-05-19 12:00:00,668.75,0.04,-89.29,-1.02,stop,46
SHORT,2006-06-01 08:00:00,635.0,660.7,584.2,2006-06-13 12:00:00,584.2,0.04,201.71,1.96,target,48
LONG,2006-08-30 16:00:00,618.0,609.61,635.38,2006-09-05 12:00:00,635.38,0.12,204.15,2.03,target,13
SHORT,2006-09-15 00:00:00,575.6,596.63,531.74,2006-09-28 00:00:00,596.63,0.05,-107.01,-1.02,stop,47
LONG,2006-09-28 04:00:00,602.1,580.14,645.72,2006-10-02 00:00:00,580.14,0.04,-89.31,-1.02,stop,10
SHORT,2006-10-10 16:00:00,570.6,582.62,546.85,2006-10-13 12:00:00,582.62,0.08,-99.14,-1.03,stop,16
LONG,2006-10-19 16:00:00,598.1,585.24,624.11,2006-10-23 12:00:00,585.24,0.08,-105.81,-1.03,stop,10
LONG,2006-11-16 04:00:00,624.1,615.48,640.14,2006-11-17 12:00:00,615.48,0.11,-98.87,-1.04,stop,7
LONG,2006-11-30 16:00:00,645.1,631.43,672.75,2006-12-06 16:00:00,631.43,0.07,-98.31,-1.03,stop,23
LONG,2007-02-08 20:00:00,658.5,646.64,681.32,2007-02-21 16:00:00,681.32,0.08,179.61,1.89,target,52
LONG,2007-02-21 20:00:00,678.7,659.03,719.23,2007-02-27 20:00:00,659.03,0.05,-100.18,-1.02,stop,23
SHORT,2007-03-12 00:00:00,650.1,658.98,628.14,2007-03-20 12:00:00,658.98,0.11,-101.75,-1.04,stop,38
LONG,2007-04-04 16:00:00,671.0,654.9,703.8,2007-04-24 04:00:00,687.0,0.06,93.78,0.97,time,80
SHORT,2007-05-30 16:00:00,652.7,657.94,641.91,2007-05-31 12:00:00,657.94,0.19,-106.68,-1.07,stop,4
SHORT,2007-07-06 12:00:00,647.0,656.85,627.91,2007-07-09 08:00:00,656.85,0.1,-102.17,-1.04,stop,4
LONG,2007-07-18 20:00:00,672.9,661.7,695.0,2007-07-26 16:00:00,661.7,0.08,-92.55,-1.03,stop,34
LONG,2007-08-08 16:00:00,675.2,666.13,693.04,2007-08-09 12:00:00,666.13,0.1,-94.4,-1.04,stop,4
LONG,2007-09-04 08:00:00,673.5,670.39,680.03,2007-09-04 16:00:00,680.03,0.31,190.83,1.98,target,1
LONG,2007-09-14 16:00:00,716.3,702.36,743.88,2007-09-28 12:00:00,743.88,0.07,190.46,1.95,target,58
LONG,2007-10-04 20:00:00,736.6,720.59,768.92,2007-10-19 00:00:00,768.92,0.06,191.69,2.0,target,60
LONG,2007-10-19 00:00:00,767.5,753.16,795.58,2007-10-22 00:00:00,753.16,0.07,-102.95,-1.03,stop,5
LONG,2007-10-25 00:00:00,763.3,752.3,785.3,2007-10-26 16:00:00,785.3,0.09,194.69,1.97,target,9
LONG,2007-10-31 20:00:00,795.5,774.88,836.44,2007-11-07 04:00:00,836.44,0.05,202.85,1.97,target,25
LONG,2007-11-20 16:00:00,794.7,770.29,843.82,2007-12-10 04:00:00,796.0,0.04,3.72,0.04,time,80
LONG,2007-12-10 16:00:00,809.6,782.89,863.63,2008-01-03 08:00:00,863.63,0.03,160.97,2.01,target,80
LONG,2008-01-10 20:00:00,891.1,863.3,946.4,2008-01-21 16:00:00,863.3,0.03,-84.51,-1.01,stop,40
LONG,2008-01-22 20:00:00,889.3,856.55,955.09,2008-02-11 08:00:00,922.3,0.03,97.89,1.0,time,80
LONG,2008-02-19 12:00:00,917.6,895.69,960.83,2008-02-27 08:00:00,960.83,0.04,171.44,1.96,target,34
LONG,2008-03-06 00:00:00,986.4,960.12,1046.16,2008-03-19 12:00:00,960.12,0.04,-106.59,-1.01,stop,56
SHORT,2008-05-13 08:00:00,879.1,891.2,855.79,2008-05-16 12:00:00,891.2,0.08,-99.79,-1.03,stop,18
LONG,2008-06-06 16:00:00,890.9,870.77,931.47,2008-06-10 16:00:00,870.77,0.05,-102.52,-1.02,stop,11
LONG,2008-06-16 16:00:00,888.8,857.54,951.61,2008-07-04 04:00:00,934.1,0.03,134.79,1.44,time,80
LONG,2008-07-10 12:00:00,930.3,910.59,970.03,2008-07-14 16:00:00,970.03,0.05,196.78,2.0,target,12
LONG,2008-07-15 20:00:00,975.7,965.52,995.75,2008-07-16 16:00:00,965.52,0.1,-105.47,-1.04,stop,4
SHORT,2008-08-15 04:00:00,793.8,838.0,705.69,2008-08-21 16:00:00,838.0,0.02,-89.15,-1.01,stop,26
SHORT,2008-09-01 20:00:00,816.5,842.43,764.94,2008-09-10 00:00:00,764.94,0.04,204.76,1.97,target,36
SHORT,2008-10-10 20:00:00,836.5,928.5,653.69,2008-10-30 08:00:00,768.8,0.01,67.33,0.73,time,80
