dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2004-06-15 04:00:00,382.3,386.49,374.52,2004-06-15 16:00:00,386.49,0.23,-104.85,-1.09,stop,2
LONG,2004-06-17 12:00:00,385.8,381.67,392.56,2004-06-18 12:00:00,392.56,0.23,147.08,1.55,target,5
LONG,2004-06-18 12:00:00,388.6,381.93,402.54,2004-06-24 16:00:00,402.54,0.15,203.59,2.03,target,24
LONG,2004-06-30 16:00:00,395.1,389.06,408.38,2004-07-06 16:00:00,389.06,0.16,-102.57,-1.06,stop,14
LONG,2004-07-07 08:00:00,395.1,387.13,411.05,2004-07-21 12:00:00,399.8,0.12,51.96,0.54,time,60
SHORT,2004-08-02 16:00:00,390.6,394.94,382.52,2004-08-06 12:00:00,394.94,0.23,-108.37,-1.09,stop,22
LONG,2004-08-25 16:00:00,405.3,400.55,415.7,2004-09-03 12:00:00,400.55,0.21,-107.52,-1.08,stop,40
LONG,2004-09-14 16:00:00,405.1,397.06,420.88,2004-09-28 20:00:00,411.7,0.12,74.76,0.78,time,60
LONG,2004-10-05 00:00:00,413.6,410.15,436.1,2004-10-13 12:00:00,410.15,0.29,-110.72,-1.11,stop,37
LONG,2004-10-15 16:00:00,420.2,412.69,436.12,2004-11-01 04:00:00,428.8,0.13,106.99,1.1,time,60
LONG,2004-11-04 00:00:00,426.6,415.59,447.72,2004-11-18 12:00:00,443.8,0.09,151.47,1.53,time,60
LONG,2004-12-16 08:00:00,442.2,433.77,458.75,2004-12-29 16:00:00,433.77,0.12,-105.55,-1.04,stop,46
SHORT,2005-01-13 12:00:00,424.8,428.21,417.08,2005-01-28 16:00:00,426.5,0.29,-60.03,-0.61,time,60
SHORT,2005-01-31 04:00:00,423.3,428.07,413.76,2005-02-04 12:00:00,413.76,0.21,192.58,1.92,target,25
LONG,2005-03-02 20:00:00,432.1,427.35,441.61,2005-03-09 16:00:00,441.61,0.21,191.9,1.92,target,28
SHORT,2005-04-01 04:00:00,427.3,429.24,422.82,2005-04-04 16:00:00,422.82,0.53,217.87,2.12,target,8
SHORT,2005-04-07 04:00:00,425.6,427.63,420.34,2005-04-07 12:00:00,427.63,0.52,-124.84,-1.18,stop,1
SHORT,2005-04-14 12:00:00,426.2,429.8,419.3,2005-04-19 16:00:00,429.8,0.29,-115.17,-1.1,stop,18
LONG,2005-04-29 12:00:00,433.1,428.91,440.28,2005-05-02 16:00:00,428.91,0.24,-109.47,-1.09,stop,6
SHORT,2005-05-11 16:00:00,425.6,428.54,419.42,2005-05-13 12:00:00,419.42,0.35,203.22,1.98,target,10
SHORT,2005-05-19 12:00:00,421.0,423.59,416.72,2005-05-20 16:00:00,416.72,0.4,156.59,1.51,target,6
SHORT,2005-05-26 12:00:00,417.7,420.29,412.83,2005-06-02 12:00:00,420.29,0.41,-121.25,-1.14,stop,19
LONG,2005-06-29 20:00:00,436.6,432.8,444.81,2005-07-01 16:00:00,432.8,0.27,-112.71,-1.1,stop,10
SHORT,2005-07-12 16:00:00,426.1,428.04,422.51,2005-07-14 08:00:00,422.51,0.53,170.65,1.66,target,9
SHORT,2005-07-26 16:00:00,422.8,427.08,413.93,2005-07-28 16:00:00,427.08,0.24,-111.72,-1.09,stop,11
LONG,2005-08-23 12:00:00,439.5,434.82,449.16,2005-08-30 12:00:00,434.82,0.22,-111.1,-1.08,stop,29
LONG,2005-09-01 16:00:00,439.3,429.7,458.5,2005-09-16 08:00:00,458.5,0.1,188.28,1.96,target,54
LONG,2005-09-26 12:00:00,461.1,457.52,467.37,2005-09-28 16:00:00,467.37,0.29,171.02,1.65,target,12
LONG,2005-09-28 16:00:00,464.2,456.3,478.8,2005-10-12 08:00:00,478.8,0.13,184.95,1.8,target,56
LONG,2005-10-17 08:00:00,471.5,464.12,486.56,2005-10-19 16:00:00,464.12,0.14,-108.52,-1.05,stop,13
LONG,2005-10-25 16:00:00,471.3,461.67,490.57,2005-11-01 12:00:00,461.67,0.11,-110.04,-1.04,stop,28
LONG,2005-12-23 16:00:00,504.8,491.55,531.01,2006-01-03 20:00:00,531.01,0.08,206.68,1.95,target,26
LONG,2006-01-19 04:00:00,547.2,537.88,565.25,2006-01-20 12:00:00,565.25,0.11,194.47,1.9,target,7
LONG,2006-01-23 04:00:00,556.5,546.25,576.11,2006-02-06 12:00:00,569.2,0.1,123.3,1.2,time,60
LONG,2006-02-09 20:00:00,565.0,542.49,608.82,2006-02-13 16:00:00,542.49,0.04,-91.52,-1.02,stop,10
LONG,2006-02-17 16:00:00,550.2,533.82,582.96,2006-03-07 08:00:00,556.0,0.06,32.58,0.33,time,60
LONG,2006-03-16 12:00:00,553.6,548.08,564.93,2006-03-16 16:00:00,548.08,0.2,-117.74,-1.07,stop,0
LONG,2006-03-22 04:00:00,552.1,545.17,566.26,2006-03-23 12:00:00,545.17,0.15,-109.47,-1.05,stop,7
LONG,2006-04-21 12:00:00,622.0,604.02,658.56,2006-05-01 04:00:00,658.56,0.06,217.11,2.01,target,33
LONG,2006-05-16 20:00:00,691.5,669.62,735.86,2006-05-19 12:00:00,669.62,0.05,-111.24,-1.02,stop,15
SHORT,2006-06-05 16:00:00,641.5,648.59,626.41,2006-06-06 16:00:00,626.41,0.15,220.74,2.07,target,5
SHORT,2006-06-22 20:00:00,581.0,598.07,545.97,2006-06-29 20:00:00,598.07,0.06,-104.62,-1.02,stop,29
LONG,2006-07-19 20:00:00,642.6,613.0,700.59,2006-07-24 08:00:00,613.0,0.03,-89.9,-1.01,stop,14
LONG,2006-07-27 08:00:00,628.1,610.11,664.37,2006-08-10 12:00:00,649.6,0.06,126.78,1.17,time,60
SHORT,2006-08-22 12:00:00,625.7,631.05,615.89,2006-08-28 16:00:00,615.89,0.2,188.77,1.76,target,24
SHORT,2006-08-28 16:00:00,620.0,625.31,608.49,2006-08-29 16:00:00,608.49,0.21,233.96,2.1,target,5
SHORT,2006-09-01 16:00:00,620.7,629.24,603.32,2006-09-05 08:00:00,629.24,0.13,-115.84,-1.04,stop,0
SHORT,2006-09-25 16:00:00,583.0,594.63,560.33,2006-09-28 00:00:00,594.63,0.09,-108.03,-1.03,stop,7
SHORT,2006-10-03 12:00:00,593.0,605.99,566.12,2006-10-04 16:00:00,566.12,0.08,212.1,2.04,target,6
SHORT,2006-10-10 12:00:00,574.7,583.62,556.55,2006-10-13 12:00:00,583.62,0.12,-111.54,-1.04,stop,17
SHORT,2006-10-23 12:00:00,587.7,603.91,556.48,2006-10-30 08:00:00,603.91,0.07,-116.06,-1.02,stop,28
LONG,2006-11-09 04:00:00,617.0,610.65,628.79,2006-11-09 16:00:00,628.79,0.17,194.14,1.8,target,2
LONG,2006-11-09 16:00:00,626.1,610.6,657.4,2006-11-28 00:00:00,640.7,0.07,99.61,0.92,time,60
LONG,2006-12-08 16:00:00,636.7,622.46,666.08,2006-12-15 16:00:00,622.46,0.08,-116.89,-1.03,stop,29
