strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,total_return_pct,cagr_pct,max_dd_pct,mar,max_loss_streak
ma_cross,30m,IS,realistic,926,37.4,1.0,0.008,-0.3,-0.0,-42.2,-0.0,13
ma_cross,30m,OOS,realistic,496,34.3,0.97,-0.009,-7.3,-1.1,-25.8,-0.04,12
ma_cross,1h,full,ideal,712,38.1,1.14,0.064,49.0,1.9,-15.6,0.12,14
ma_cross,1h,full,realistic,712,36.8,1.01,0.012,2.7,0.1,-26.4,0.0,14
ma_cross,1h,full,pessimistic,712,36.0,0.94,-0.02,-16.8,-0.8,-32.3,-0.03,14
ma_cross,1h,IS,realistic,470,35.7,0.96,-0.009,-7.6,-0.5,-23.8,-0.02,13
ma_cross,1h,OOS,realistic,245,38.4,1.11,0.047,10.5,1.4,-13.3,0.11,14
breakout_retest,15m,full,ideal,16064,39.3,1.15,0.102,277631419.1,98.5,-46.5,2.12,18
breakout_retest,15m,full,realistic,16064,38.9,0.86,-0.061,-96.0,-13.8,-109.0,-0.13,18
breakout_retest,15m,full,pessimistic,16064,38.5,0.79,-0.163,-130.0,0.0,-140.8,0.0,18
breakout_retest,15m,IS,realistic,10476,39.3,0.79,-0.079,-101.2,0.0,-101.3,0.0,17
breakout_retest,15m,OOS,realistic,5582,38.1,0.92,-0.028,-81.1,-21.0,-95.2,-0.22,18
breakout_retest,30m,full,ideal,8095,40.0,1.16,0.124,1006640.5,53.1,-36.5,1.46,17
breakout_retest,30m,full,realistic,8095,39.8,1.01,0.017,68.3,2.4,-68.4,0.04,17
breakout_retest,30m,full,pessimistic,8095,39.6,0.87,-0.049,-88.5,-9.5,-101.4,-0.09,17
breakout_retest,30m,IS,realistic,5269,40.3,1.0,0.014,17.6,1.1,-53.8,0.02,13
breakout_retest,30m,OOS,realistic,2823,38.8,1.02,0.025,45.1,5.4,-67.8,0.08,17
breakout_retest,1h,full,ideal,3878,40.5,1.22,0.125,8658.2,23.0,-31.3,0.73,15
breakout_retest,1h,full,realistic,3878,40.3,1.1,0.059,552.6,9.1,-42.4,0.21,15
breakout_retest,1h,full,pessimistic,3878,40.2,1.02,0.017,31.6,1.3,-60.1,0.02,15
breakout_retest,1h,IS,realistic,2514,40.7,1.06,0.05,175.2,7.2,-32.7,0.22,12
breakout_retest,1h,OOS,realistic,1364,39.6,1.14,0.074,134.0,12.8,-41.4,0.31,15
